Comparison	p53Target	Ensg	GeneID	p53	TargetRegion	InteractionBait	InteractionOtherEnd	InteractionDynamism	EnrichedInGeneSet	p53EnsgGenomicDistance	H3K27acLog2FCp53	H3K27acLog2FCensg	H3K27acLog2FCenhancer	ExprLog2FCensg
Nut1h.vs.Nut0h	enhancer	ENSG00000222888	AC012467.1	3:53295826-53296048	3:53295801-53296141	3:53278994-53304604	3:53915522-53924632	gained		620759	0.918022544393816	0.743528520135116	0.918022544393816	
Nut1h.vs.Nut0h	enhancer	ENSG00000214184	AC012487.2	2:109061744-109061966	2:109060788-109062423	2:109061063-109066640	2:109144635-109152181	maintained		89197	0.44756706322359	1.11137159938399	0.571948152886652	0.666304172031319
Nut1h.vs.Nut0h	enhancer	ENSG00000179066	AC020907.1	19:35613962-35614184	19:35613666-35616224	19:35590055-35605734	19:35607798-35627441	gained		17600	0.9824242	0.08862515	0.703424883354545	
Nut1h.vs.Nut0h	enhancer	ENSG00000243243	AC073130.3	7:115924554-115924776	7:115924204-115925258	7:115924625-115929514	7:115967531-115969615	maintained		43685	0.910725882643923	1.41516062593284	1.11039244125636	3.92969706432176
Nut1h.vs.Nut0h	enhancer	ENSG00000237753	AC079922.3	2:113450219-113450441	2:113448129-113451605	2:113402487-113405754	2:113449093-113452250	maintained	PSMB5_TARGET_GENES	46663	1.18904595328358	0.540793100969593	0.93447075190135	0.100268547810692
Nut1h.vs.Nut0h	enhancer	ENSG00000235257	AC093415.2	3:37987562-37987784	3:37985940-37988771	3:37889807-37904998	3:37983810-37992184	gained		84002	1.47577557977805	1.15012852470141	1.24447673223493	-0.124854424090582
Nut1h.vs.Nut0h	enhancer	ENSG00000229782	AC118754.4	17:4419005-4419227	17:4418521-4419398	17:4401458-4411067	17:4413619-4420190	maintained		15747	0.732069066666667	1.93230866666667	0.81321268	
Nut1h.vs.Nut0h	enhancer	ENSG00000113812	ACTR8	3:53295826-53296048	3:53295801-53296141	3:53278994-53304604	3:53915522-53924632	gained		620692	0.918022544393816	0.743528520135116	0.918022544393816	0.375093971980939
Nut1h.vs.Nut0h	enhancer	ENSG00000166839	ANKDD1A	15:65059339-65059561	15:65059028-65060932	15:65052681-65064651	15:65202319-65212830	gained		144251	0.393766466666667	0.854654716666667	0.885403	0.377997839899466
Nut1h.vs.Nut0h	enhancer	ENSG00000120805	ARL1	12:102249173-102249395	12:102249012-102249696	12:101801004-101802761	12:102242454-102254383	gained		447286	1.994589	0.4549395	1.93520771428571	0.824828579402707
Nut1h.vs.Nut0h	enhancer	ENSG00000105726	ATP13A1	19:19887370-19887592	19:19886221-19888738	19:19773634-19777922	19:19885162-19889182	maintained		112579	0.5739287	0.8159618	0.650418809090909	-1.02729505557758
Nut1h.vs.Nut0h	enhancer	ENSG00000164053	ATRIP	3:48746590-48746812	3:48744542-48750357	3:48487332-48489343	3:48745775-48752958	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	258987	0.230680122680856	1.05556566897065	0.204175884361307	-0.834777839813809
Nut1h.vs.Nut0h	enhancer	ENSG00000179941	BBS10	12:76054072-76054294	12:76047556-76063367	12:76736276-76748012	12:76052688-76055013	maintained		688439	0.8993355	0.855848125	1.13159712222222	1.14869183868178
Nut1h.vs.Nut0h	enhancer	ENSG00000050820	BCAR1	16:75339224-75339446	16:75337674-75341461	16:75274888-75302174	16:75324373-75339606	maintained		36984	0.6945529	0.313528285	0.73985876	-1.16974565849874
Nut1h.vs.Nut0h	enhancer	ENSG00000125864	BFSP1	20:17565048-17565270	20:17564794-17565299	20:17542510-17551506	20:17560300-17566673	gained		14894	0.215247133333333	0.3144451	0.57355908	0.106357277270938
Nut1h.vs.Nut0h	enhancer	ENSG00000163170	BOLA3	2:74004330-74004552	2:74003669-74005024	2:74366447-74377888	2:74001946-74004627	maintained		371080	0.287491498662966	0.38667339092281	0.642707536125482	-0.541274887688654
Nut1h.vs.Nut0h	enhancer	ENSG00000166164	BRD7	16:50299255-50299477	16:50299002-50301571	16:50395469-50403807	16:50298325-50300257	maintained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	103879	0.98208772	1.61498873333333	0.7568713	0.00736460845634031
Nut1h.vs.Nut0h	enhancer	ENSG00000112983	BRD8	5:137862272-137862494	5:137860751-137863807	5:137507839-137517488	5:137862069-137865332	gained		347308	-0.228942444501471	0.585087005017168	-0.131346303013944	0.121208407158059
Nut1h.vs.Nut0h	enhancer	ENSG00000064726	BTBD1	15:84049410-84049632	15:84046988-84050193	15:83722766-83736752	15:84048335-84050465	gained		313015	0.7334546	0.90921876	1.1167428	0.341437059024165
Nut1h.vs.Nut0h	enhancer	ENSG00000133243	BTBD2	19:2089199-2089421	19:2083141-2091659	19:1998216-2019585	19:2088257-2104979	gained		54030	0.4062615	0.680755915384615	0.154284972758621	-1.82263925605225
Nut1h.vs.Nut0h	enhancer	ENSG00000116922	C1orf109	1:38029136-38029358	1:38028503-38029945	1:38156332-38160858	1:38023386-38029525	maintained		129067	0.328376176362496	0.818628047377614	0.259100188262385	0.324419034098683
Nut1h.vs.Nut0h	enhancer	ENSG00000101220	C20orf27	20:3874137-3874359	20:3871003-3875884	20:3746581-3752164	20:3867382-3882473	gained		124814	0.7727624	1.24773636666667	0.468003198636364	-1.41568851961549
Nut1h.vs.Nut0h	enhancer	ENSG00000159079	C21orf59	21:33758568-33758790	21:33754231-33761241	21:33755386-33767163	21:33981685-33987743	maintained		226897	0.345954	2.08343616666667	0.333736350294118	-0.787481332337998
Nut1h.vs.Nut0h	enhancer	ENSG00000128254	C22orf24	22:32019683-32019905	22:32018925-32021543	22:32338419-32342896	22:32012965-32043912	gained		322110	0.2321988	0.140303633333333	0.189742422076923	-0.734852601521465
Nut1h.vs.Nut0h	enhancer	ENSG00000135932	CAB39	2:231658725-231658947	2:231656747-231660504	2:231577286-231579146	2:231658933-231661177	maintained		81676	1.2112502193069	0.789298509001481	1.24515623307589	0.463555708780399
Nut1h.vs.Nut0h	enhancer	ENSG00000148660	CAMK2G	10:75647552-75647774	10:75645925-75651765	10:75630008-75639708	10:75641046-75649027	maintained	MIR338_3P	12920	0.8919151	1.18455861666667	0.669142633333333	-0.319418547043886
Nut1h.vs.Nut0h	enhancer	ENSG00000142453	CARM1	19:10998290-10998512	19:10997405-10999974	19:10965689-10987411	19:10992156-10999704	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	16612	-0.0529012	0.519160275	0.101174535294118	-0.937259064515079
Nut1h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115900050-115900272	7:115898236-115900979	7:116135054-116142201	7:115897798-115900070	maintained		26873	2.43067837195543	2.05058545390472	2.19935421166222	-0.143829926804948
Nut1h.vs.Nut0h	enhancer	ENSG00000105971	CAV2	7:115900050-115900272	7:115898236-115900979	7:116135054-116142201	7:115900071-115904032	maintained		26873	2.43067837195543	2.05058545390472	2.19935421166222	-0.143829926804948
Nut1h.vs.Nut0h	enhancer	ENSG00000145439	CBR4	4:170478687-170478909	4:170478041-170479403	4:169925905-169932084	4:170478123-170480459	maintained		546972	1.18943049281323	0.288417680434294	1.34783131225177	1.49586009932631
Nut1h.vs.Nut0h	enhancer	ENSG00000010278	CD9	12:6381669-6381891	12:6381468-6383810	12:6305102-6318727	12:6375942-6381961	maintained		73299	1.112148	0.995491616666667	1.72864863636364	0.175761735734241
Nut1h.vs.Nut0h	enhancer	ENSG00000059758	CDK17	12:96613598-96613820	12:96611374-96615523	12:96792262-96795604	12:96608933-96615877	maintained		181029	0.9323368	0.737333166666667	0.920737309090909	0.248886017570205
Nut1h.vs.Nut0h	enhancer	ENSG00000147889	CDKN2A	9:21833573-21833795	9:21826362-21838879	9:21991197-22008507	9:21826325-21836333	maintained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	162016	-0.2954907	1.241326	-0.174185972195122	-1.54675875527546
Nut1h.vs.Nut0h	enhancer	ENSG00000240498	CDKN2B-AS1	9:21833573-21833795	9:21826362-21838879	9:21991197-22008507	9:21826325-21836333	maintained		160693	-0.2954907	1.241326	-0.174185972195122	0.356150905804598
Nut1h.vs.Nut0h	enhancer	ENSG00000131778	CHD1L	1:146642202-146642424	1:146642316-146643271	1:146642039-146658439	1:146707850-146725883	gained		71578		0.970651840651907	0.805122569179037	0.314837870104449
Nut1h.vs.Nut0h	enhancer	ENSG00000111642	CHD4	12:6616873-6617095	12:6614947-6618187	12:6609864-6625944	12:6666582-6685049	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	100058	1.266341	1.55953305	0.615304178571429	0.0348649966115281
Nut1h.vs.Nut0h	enhancer	ENSG00000111642	CHD4	12:6616873-6617095	12:6614947-6618187	12:6609864-6625944	12:6685050-6692987	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	100058	1.266341	1.55953305	0.615304178571429	0.0348649966115281
Nut1h.vs.Nut0h	enhancer	ENSG00000111642	CHD4	12:6616873-6617095	12:6614947-6618187	12:6609864-6625944	12:6711205-6741803	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	100058	1.266341	1.55953305	0.615304178571429	0.0348649966115281
Nut1h.vs.Nut0h	enhancer	ENSG00000116254	CHD5	1:6134372-6134594	1:6134064-6134901	1:6220817-6245036	1:6130641-6134664	maintained		106100	1.05811772344636	2.4882086937414	0.856023082341408	-0.448030367040708
Nut1h.vs.Nut0h	enhancer	ENSG00000120885	CLU	8:27167252-27167474	8:27166288-27167927	8:27161157-27175159	8:27466105-27474720	maintained		305585	0.5971016	1.21153625	0.435513331666667	-0.555301706238477
Nut1h.vs.Nut0h	enhancer	ENSG00000153815	CMIP	16:81565134-81565356	16:81564633-81566661	16:81475083-81484443	16:81562809-81573319	gained		86870	0.933971075	0.3671981	0.623017533571429	-1.16834395250026
Nut1h.vs.Nut0h	enhancer	ENSG00000196739	COL27A1	9:117039051-117039273	9:117038517-117040306	9:116915368-116921473	9:117037748-117039387	maintained	AP1FJ_Q2	121722	1.430931	-0.487706683333333	1.54201457142857	0.0448329883578971
Nut1h.vs.Nut0h	enhancer	ENSG00000262246	CORO7	16:4668977-4669199	16:4668725-4669578	16:4445063-4478595	16:4663479-4677218	gained	NPM1_TARGET_GENES	192982	1.281016	0.6930058	1.53923542	-2.18023932875421
Nut1h.vs.Nut0h	enhancer	ENSG00000262246	CORO7	16:4675930-4676152	16:4673999-4676912	16:4445063-4478595	16:4663479-4677218	gained	NPM1_TARGET_GENES	199935	-0.02227857	0.6930058	0.262614786363636	-2.18023932875421
Nut1h.vs.Nut0h	enhancer	ENSG00000225362	CT62	15:71740094-71740316	15:71739189-71741373	15:71406734-71408960	15:71732608-71742594	maintained		331972	1.314813	1.87029657142857	1.66968988888889	-1.99666062057811
Nut1h.vs.Nut0h	enhancer	ENSG00000239462	CTD-2021J15.1	3:98641645-98641867	3:98640854-98643672	3:98617768-98623128	3:98641054-98648673	gained		20888	1.62650080066429	0.907073400389142	1.68981246591944	2.51997742293406
Nut1h.vs.Nut0h	enhancer	ENSG00000228313	CTD-2555K7.4	14:23308482-23308704	14:23308270-23308844	14:23067560-23073496	14:23304582-23318454	gained		240338	0.9042908	0.742786566666667	0.9042908	2.42272271276268
Nut1h.vs.Nut0h	enhancer	ENSG00000144677	CTDSPL	3:37987562-37987784	3:37985940-37988771	3:37889807-37904998	3:37983810-37992184	gained		84622	1.47577557977805	1.15012852470141	1.24447673223493	-0.375183722080811
Nut1h.vs.Nut0h	enhancer	ENSG00000143079	CTTNBP2NL	1:113188914-113189136	1:113187480-113189274	1:112933412-112943864	1:113177020-113192276	maintained		250622	0.95932527279971	0.719487815777732	0.498904904124216	0.148276768278067
Nut1h.vs.Nut0h	enhancer	ENSG00000068793	CYFIP1	15:22921352-22921574	15:22920453-22922883	15:22889714-22896358	15:22911252-22922597	maintained		29858	0.1955275	1.23068141666667	0.0512776103636364	-0.299020874036923
Nut1h.vs.Nut0h	enhancer	ENSG00000198876	DCAF12	9:34072495-34072717	9:34071987-34073603	9:34124399-34147666	9:34070768-34073945	gained	MIR338_3P	55191	0.7754497	1.09886998333333	1.18007035714286	0.17160890866411
Nut1h.vs.Nut0h	enhancer	ENSG00000057019	DCBLD2	3:98641645-98641867	3:98640854-98643672	3:98617768-98623128	3:98641054-98648673	gained		20823	1.62650080066429	0.907073400389142	1.68981246591944	0.599963723402136
Nut1h.vs.Nut0h	enhancer	ENSG00000168209	DDIT4	10:74058012-74058234	10:74050271-74060964	10:74033250-74037220	10:74040419-74061391	gained	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,PSMB5_TARGET_GENES	24845	0.8849664	0.1849449	0.678162070588235	-2.75918154470226
Nut1h.vs.Nut0h	enhancer	ENSG00000107984	DKK1	10:54203290-54203512	10:54194893-54216209	10:54071909-54076116	10:54199517-54207146	maintained	PSMB5_TARGET_GENES	129745	1.373057	1.286347	0.989243719032258	0.168737589461043
Nut1h.vs.Nut0h	enhancer	ENSG00000103423	DNAJA3	16:4668977-4669199	16:4668725-4669578	16:4445063-4478595	16:4663479-4677218	gained	NPM1_TARGET_GENES	193682	1.281016	0.6930058	1.53923542	-0.21351233973238
Nut1h.vs.Nut0h	enhancer	ENSG00000103423	DNAJA3	16:4675930-4676152	16:4673999-4676912	16:4445063-4478595	16:4663479-4677218	gained	NPM1_TARGET_GENES	200635	-0.02227857	0.6930058	0.262614786363636	-0.21351233973238
Nut1h.vs.Nut0h	enhancer	ENSG00000162616	DNAJB4	1:78414685-78414907	1:78414134-78416142	1:78439265-78448564	1:78413998-78417095	gained	NPM1_TARGET_GENES	29663	0.485585914419238	0.0770699676311652	0.0144283802160027	1.08931257654891
Nut1h.vs.Nut0h	enhancer	ENSG00000227695	DNMBP-AS1	10:101803191-101803413	10:101802539-101806734	10:101685703-101693208	10:101794859-101805578	maintained		116935	1.027087	0.800810122222222	1.17208683590909	1.33859159190559
